Transaction report 2022

Date,Type,Label,Sending Wallet,Sent Amount,Sent Currency,Sent Cost Basis,Receiving Wallet,Received Amount,Received Currency,Received Cost Basis,Fee Amount,Fee Currency,Gain (USD),Net Value (USD),Fee Value (USD),TxSrc,TxDest,TxHash,Description
2013-01-13 13:49:38 UTC,fiat_withdrawal,"",Coinbase,1467.12,USD,"","","","","","","","",1467.12,"","","","",""
2016-03-06 22:18:17 UTC,buy,"",Coinbase,24.75,USD,"",Coinbase,0.06093808,BTC,25.0,0.25,USD,"",24.75,0.25,"","",e56f69e8-c8c9-51a6-b878-a4c5a58144a2,""
2016-03-06 22:18:17 UTC,fiat_deposit,"","","","","",Coinbase,25.0,USD,"","","","",25.0,"",Wells Fargo - Checking ******2498,"","",Bought Bitcoin Using Wells Fargo - Checking ******2498
2016-03-07 20:00:28 UTC,crypto_deposit,"","","","","",Coinbase,0.0001,BTC,0.04,"","","",0.04,"","","",11432f1717f2cdddff1aa6c8c7992350349304879fa2aad3dc7394bb3352497f,Received Bitcoin From Bitcoin address
2016-03-07 21:46:45 UTC,buy,"",Coinbase,4.85,USD,"",Coinbase,0.01176613,BTC,5.0,0.15,USD,"",4.85,0.15,"","",f2e68bfc-55e9-500c-8106-f757c5d88897,""
2016-03-07 21:46:45 UTC,fiat_deposit,"","","","","",Coinbase,5.0,USD,"","","","",5.0,"",Wells Fargo - Checking ******2498,"","",Bought Bitcoin Using Wells Fargo - Checking ******2498
2016-03-08 04:15:35 UTC,buy,"",Coinbase,4.85,USD,"",Coinbase,0.01171243,BTC,5.0,0.15,USD,"",4.85,0.15,"","",c20b9c97-e7d2-58f5-88ea-2bd06fd2daff,""
2016-03-08 04:15:35 UTC,fiat_deposit,"","","","","",Coinbase,5.0,USD,"","","","",5.0,"",Wells Fargo - Checking ******2498,"","",Bought Bitcoin Using Wells Fargo - Checking ******2498
2016-03-08 19:10:03 UTC,buy,"",Coinbase,9.85,USD,"",Coinbase,0.02395661,BTC,10.0,0.15,USD,"",9.85,0.15,"","",da5c9b14-4171-5d45-a713-467f0d7ff7b9,""
2016-03-08 19:10:03 UTC,fiat_deposit,"","","","","",Coinbase,10.0,USD,"","","","",10.0,"",Wells Fargo - Checking ******2498,"","",Bought Bitcoin Using Wells Fargo - Checking ******2498
2016-03-09 19:59:05 UTC,buy,"",Coinbase,4.85,USD,"",Coinbase,0.01179905,BTC,5.0,0.15,USD,"",4.85,0.15,"","",b176839e-efd0-574d-9157-2fd7ba415478,""
2016-03-09 19:59:05 UTC,fiat_deposit,"","","","","",Coinbase,5.0,USD,"","","","",5.0,"",Wells Fargo - Checking ******2498,"","",Bought Bitcoin Using Wells Fargo - Checking ******2498
2016-03-12 02:14:06 UTC,buy,"",Coinbase,4.85,USD,"",Coinbase,0.01157076,BTC,5.0,0.15,USD,"",4.85,0.15,"","",2fffb28e-fc43-587b-89d4-442e9f96daf2,""
2016-03-12 02:14:06 UTC,fiat_deposit,"","","","","",Coinbase,5.0,USD,"","","","",5.0,"",Wells Fargo - Checking ******2498,"","",Bought Bitcoin Using Wells Fargo - Checking ******2498
2016-04-14 19:24:24 UTC,buy,"",Coinbase,4.85,USD,"",Coinbase,0.01138705,BTC,5.0,0.15,USD,"",4.85,0.15,"","",7c136a83-e97f-5ec3-a3d5-abd4042438b2,""
2016-04-14 19:24:24 UTC,fiat_deposit,"","","","","",Coinbase,5.0,USD,"","","","",5.0,"",Wells Fargo - Checking ******2498,"","",Bought Bitcoin Using Wells Fargo - Checking ******2498
2016-05-13 16:33:21 UTC,fiat_deposit,"","","","","",Coinbase,25.0,USD,"","","","",25.0,"",Wells Fargo - Checking ******2498,"","",Bought Bitcoin Using Wells Fargo - Checking ******2498
2016-05-13 16:33:21 UTC,buy,"",Coinbase,24.75,USD,"",Coinbase,0.0541676,BTC,25.0,0.25,USD,"",24.75,0.25,"","",5c667094-7664-5d1c-bf98-14d4051ebdc7,""
2016-05-18 04:44:46 UTC,fiat_deposit,"","","","","",Coinbase,11.0,USD,"","","","",11.0,"",Wells Fargo - Checking ******2498,"","",Bought Bitcoin Using Wells Fargo - Checking ******2498
2016-05-18 04:44:46 UTC,buy,"",Coinbase,10.85,USD,"",Coinbase,0.02378239,BTC,11.0,0.15,USD,"",10.85,0.15,"","",5fe069fd-b86c-56bc-83ac-9f199269c9b3,""
2016-08-12 13:16:23 UTC,buy,"",Coinbase,10.0,USD,"",Coinbase,0.0169081,BTC,10.15,0.15,USD,"",10.0,0.15,"","",36659ad8-882c-58ee-ac1c-0c47811526bc,""
2016-08-12 13:16:23 UTC,fiat_deposit,"","","","","",Coinbase,10.15,USD,"","","","",10.15,"",Wells Fargo - Checking ******2498,"","",Bought Bitcoin Using Wells Fargo - Checking ******2498
2016-08-12 13:21:43 UTC,crypto_deposit,"","","","","",Coinbase,0.01699,BTC,10.0,"","","",10.0,"",Coinbase,"","","Congrats! You just earned a $10 bonus for accepting your friend 99 Bitcoins's Coinbase invite! They also got $10 of bitcoin for telling you about Coinbase. 

Find out more on the https://www.coinbase.com/invite_friends page."
